id,type,src,dst,app,latency,message,ctime,size,buffer
2,LINK,1,0,1,1.00002,M.USER.APP.1,100,20,0
3,LINK,2,0,2,1.00002,M.USER.APP.2,100,20,1
4,LINK,3,2,3,1.00002,M.USER.APP.3,100,20,2
5,LINK,4,0,4,1.00002,M.USER.APP.4,100,20,3
4,LINK,2,0,3,1.00002,M.USER.APP.3,101.00002,20,0
7,LINK,1,0,1,1.00002,M.USER.APP.1,200,20,0
8,LINK,2,0,2,1.00002,M.USER.APP.2,200,20,1
9,LINK,3,2,3,1.00002,M.USER.APP.3,200,20,2
10,LINK,4,0,4,1.00002,M.USER.APP.4,200,20,3
9,LINK,2,0,3,1.00002,M.USER.APP.3,201.00002,20,0
12,LINK,1,0,1,1.00002,M.USER.APP.1,300,20,0
13,LINK,2,0,2,1.00002,M.USER.APP.2,300,20,1
14,LINK,3,2,3,1.00002,M.USER.APP.3,300,20,2
15,LINK,4,0,4,1.00002,M.USER.APP.4,300,20,3
14,LINK,2,0,3,1.00002,M.USER.APP.3,301.00002,20,0
17,LINK,1,0,1,1.00002,M.USER.APP.1,400,20,0
18,LINK,2,0,2,1.00002,M.USER.APP.2,400,20,1
19,LINK,3,2,3,1.00002,M.USER.APP.3,400,20,2
20,LINK,4,0,4,1.00002,M.USER.APP.4,400,20,3
19,LINK,2,0,3,1.00002,M.USER.APP.3,401.00002,20,0
22,LINK,1,0,1,1.00002,M.USER.APP.1,500,20,0
23,LINK,2,0,2,1.00002,M.USER.APP.2,500,20,1
24,LINK,3,2,3,1.00002,M.USER.APP.3,500,20,2
25,LINK,4,0,4,1.00002,M.USER.APP.4,500,20,3
24,LINK,2,0,3,1.00002,M.USER.APP.3,501.00002,20,0
27,LINK,1,0,1,1.00002,M.USER.APP.1,600,20,0
28,LINK,2,0,2,1.00002,M.USER.APP.2,600,20,1
29,LINK,3,2,3,1.00002,M.USER.APP.3,600,20,2
30,LINK,4,0,4,1.00002,M.USER.APP.4,600,20,3
29,LINK,2,0,3,1.00002,M.USER.APP.3,601.00002,20,0
32,LINK,1,0,1,1.00002,M.USER.APP.1,700,20,0
33,LINK,2,0,2,1.00002,M.USER.APP.2,700,20,1
34,LINK,3,2,3,1.00002,M.USER.APP.3,700,20,2
35,LINK,4,0,4,1.00002,M.USER.APP.4,700,20,3
34,LINK,2,0,3,1.00002,M.USER.APP.3,701.00002,20,0
37,LINK,1,0,1,1.00002,M.USER.APP.1,800,20,0
38,LINK,2,0,2,1.00002,M.USER.APP.2,800,20,1
39,LINK,3,2,3,1.00002,M.USER.APP.3,800,20,2
40,LINK,4,0,4,1.00002,M.USER.APP.4,800,20,3
39,LINK,2,0,3,1.00002,M.USER.APP.3,801.00002,20,0
42,LINK,1,0,1,1.00002,M.USER.APP.1,900,20,0
43,LINK,2,0,2,1.00002,M.USER.APP.2,900,20,1
44,LINK,3,2,3,1.00002,M.USER.APP.3,900,20,2
45,LINK,4,0,4,1.00002,M.USER.APP.4,900,20,3
44,LINK,2,0,3,1.00002,M.USER.APP.3,901.00002,20,0
47,LINK,1,0,1,1.00002,M.USER.APP.1,1000,20,0
